lottery,game,draw_date,winning,machine
ghana,ASEDA,2026-04-05,54-16-67-30-31,24-37-89-63-48
ghana,National,2026-04-11,13-67-71-72-63,39-43-17-47-10
ghana,ASEDA,2026-04-12,57-03-75-38-63,55-40-26-37-42
ghana,National,2026-04-18,71-72-60-41-79,48-40-73-64-58
ghana,ASEDA,2026-04-19,25-17-79-71-48,90-64-59-80-12
ghana,National,2026-04-25,39-01-30-80-48,89-74-10-50-49
ghana,ASEDA,2026-04-26,36-89-47-41-08,25-88-44-16-40
ghana,National,2026-05-02,84-10-43-05-13,21-85-70-15-75
ghana,ASEDA,2026-05-03,22-26-46-48-13,03-08-30-14-07
ghana,National,2026-05-09,80-74-56-10-03,66-32-34-77-35
ghana,ASEDA,2026-05-10,16-79-63-54-73,38-44-85-03-83
ghana,National,2026-05-16,21-84-02-62-83,59-27-43-35-75
ghana,ASEDA,2026-05-17,28-83-30-45-26,68-06-21-81-53
ghana,National,2026-05-23,86-24-14-19-40,48-76-73-81-20
ghana,ASEDA,2026-05-24,88-76-10-54-43,15-82-61-68-46
ghana,National,2026-05-30,81-64-15-74-88,23-24-61-77-51
ghana,ASEDA,2026-05-31,76-67-10-41-51,54-07-49-59-81
ghana,National,2026-06-06,27-77-16-82-51,79-66-03-71-45
ghana,ASEDA,2026-06-07,67-56-57-53-74,87-88-10-58-62
ghana,National,2026-06-13,37-22-61-74-69,90-57-46-44-11
ghana,ASEDA,2026-06-14,16-47-46-29-07,71-45-30-43-15
ghana,National,2026-06-20,21-41-80-81-66,87-39-61-52-69
ghana,ASEDA,2026-06-21,01-67-10-17-41,34-89-66-86-79
ghana,National,2026-06-27,39-29-08-23-22,71-53-74-78-44
ghana,ASEDA,2026-06-28,45-11-34-82-26,78-72-18-43-80
ghana,National,2026-07-04,28-82-06-64-05,15-87-69-76-29
ghana,ASEDA,2026-07-05,53-60-66-84-83,07-34-69-19-58
ghana,National,2026-07-11,48-90-61-45-06,30-05-82-69-14
ghana,ASEDA,2026-07-12,05-21-85-87-47,61-84-72-46-68
ghana,National,2026-07-18,59-77-76-47-23,28-90-48-61-05
ghana,ASEDA,2026-07-19,78-90-08-89-88,27-07-20-41-17
ghana,National,2026-07-25,33-65-72-13-01,87-56-62-29-37
ghana,ASEDA,2026-07-26,03-68-10-46-30,41-25-59-37-77
ghana,National,2026-08-01,63-12-34-41-82,39-56-40-85-30
ghana,ASEDA,2026-08-02,17-75-59-28-16,84-62-36-67-19
ghana,National,2026-08-08,26-57-18-53-21,13-45-40-81-05
ghana,ASEDA,2026-08-09,46-28-40-04-42,20-11-57-34-61
ghana,National,2026-08-15,29-84-70-49-17,48-86-39-76-02
ghana,ASEDA,2026-08-16,71-84-82-80-39,53-23-74-44-68
ghana,National,2026-08-22,31-18-89-49-40,65-42-83-11-45
ghana,ASEDA,2026-08-23,25-67-60-76-50,15-40-72-54-83
ghana,National,2026-08-29,52-53-12-01-17,03-57-30-67-68
ghana,ASEDA,2026-08-30,76-38-44-55-12,35-75-33-67-45
ghana,National,2026-09-05,06-15-18-05-22,68-64-27-31-72
ghana,Monday Special,2024-09-09,13-69-76-67-43,90-40-56-53-47
ghana,Monday Special,2024-09-16,90-40-59-18-38,27-01-78-56-53
ghana,Monday Special,2024-09-23,63-31-48-38-78,79-58-42-33-83
ghana,Monday Special,2024-09-30,86-21-43-08-49,59-04-33-63-13
ghana,Monday Special,2024-10-07,03-54-59-01-26,52-05-40-31-35
ghana,Monday Special,2024-10-14,86-24-31-41-06,47-29-45-42-73
ghana,Monday Special,2024-10-21,10-68-06-73-38,42-12-66-59-43
ghana,Monday Special,2024-10-28,03-25-54-33-38,48-50-11-59-46
ghana,Monday Special,2024-11-04,04-31-36-28-84,79-49-30-43-09
ghana,Monday Special,2024-11-11,74-48-79-69-27,63-39-75-41-30
ghana,Monday Special,2024-11-18,79-73-31-08-77,90-22-18-48-25
ghana,Monday Special,2024-11-25,60-06-45-11-70,44-16-56-37-39
ghana,Monday Special,2024-12-02,72-74-42-37-11,26-07-83-59-70
ghana,Monday Special,2024-12-09,07-18-86-40-21,06-81-76-36-71
ghana,Monday Special,2024-12-16,38-16-46-09-57,40-41-78-71-05
ghana,Monday Special,2024-12-23,24-22-77-53-83,81-75-52-76-17
ghana,Monday Special,2024-12-30,75-40-58-89-35,36-84-88-45-53
ghana,Monday Special,2025-01-06,02-76-74-55-03,43-80-24-67-79
ghana,Monday Special,2025-01-13,20-69-87-18-13,46-80-10-55-35
ghana,Monday Special,2025-01-20,44-42-25-63-36,26-58-21-60-24
ghana,Monday Special,2025-01-27,22-72-28-82-76,63-35-37-20-08
ghana,Monday Special,2025-02-03,60-51-69-14-81,04-09-49-50-37
ghana,Monday Special,2025-02-10,49-81-04-31-05,59-54-84-20-68
ghana,Monday Special,2025-02-17,58-66-54-15-65,84-52-28-87-79
ghana,Monday Special,2025-02-24,06-89-19-68-43,38-39-41-02-33
ghana,Monday Special,2025-03-03,23-66-20-27-60,65-53-36-29-42
ghana,Monday Special,2025-03-10,78-67-68-54-40,24-64-50-72-02
ghana,Monday Special,2025-03-17,43-15-16-68-44,22-18-87-74-29
ghana,Monday Special,2025-03-24,36-37-21-12-50,90-07-64-42-74
ghana,Monday Special,2025-04-07,42-03-28-66-36,18-35-71-72-02
ghana,Monday Special,2025-04-14,49-47-81-06-17,65-62-38-23-67
ghana,Monday Special,2025-04-21,47-56-83-70-02,65-31-79-40-37
ghana,Monday Special,2025-04-28,04-18-35-72-32,45-90-26-39-41
ghana,Monday Special,2025-05-05,17-72-65-55-35,24-68-29-36-64
ghana,Monday Special,2025-05-12,87-50-74-23-54,52-84-40-14-64
ghana,Monday Special,2025-05-19,85-84-12-39-81,36-69-60-72-48
ghana,Monday Special,2025-05-26,63-05-87-75-48,43-53-60-32-21
ghana,Monday Special,2025-06-02,71-23-01-82-54,64-49-65-38-45
ghana,Monday Special,2025-06-09,61-60-17-08-75,03-76-57-68-44
ghana,Monday Special,2025-06-16,55-28-11-06-47,39-79-80-87-02
ghana,Monday Special,2025-06-23,53-29-22-75-82,71-59-39-04-78
ghana,Monday Special,2025-06-30,37-52-33-13-53,90-72-61-28-48
ghana,Monday Special,2025-07-07,40-04-36-66-29,38-50-02-77-31
ghana,Monday Special,2025-07-14,52-47-62-46-16,65-72-31-21-54
ghana,Monday Special,2025-07-21,16-38-66-77-72,04-39-81-34-14
ghana,Monday Special,2025-07-28,50-31-73-33-06,68-70-30-65-84
ghana,Monday Special,2025-08-04,12-52-73-79-71,63-53-39-90-06
ghana,Monday Special,2025-08-11,04-70-22-34-90,18-40-89-78-09
ghana,Monday Special,2025-08-18,27-16-89-77-14,29-43-90-80-81
ghana,Monday Special,2025-08-25,02-01-61-63-85,88-05-77-37-45
ghana,Monday Special,2025-09-01,81-84-50-10-41,31-27-37-43-40
ghana,Monday Special,2025-09-08,13-36-81-59-26,65-77-12-14-47
ghana,Monday Special,2025-09-15,33-90-34-03-73,31-75-40-48-71
ghana,Monday Special,2025-09-22,01-15-38-46-27,67-60-42-37-68
ghana,Monday Special,2025-09-29,19-67-08-37-49,35-72-79-73-74
ghana,Monday Special,2025-10-06,55-25-74-13-01,09-65-69-48-90
ghana,Monday Special,2025-10-13,38-69-28-87-31,37-89-55-10-79
ghana,Monday Special,2025-10-20,40-75-88-23-39,58-84-08-07-90
ghana,Monday Special,2025-10-27,58-89-12-76-16,61-02-06-65-41
ghana,Monday Special,2025-11-03,32-21-56-14-57,46-54-28-67-60
ghana,Monday Special,2025-11-10,50-62-88-09-24,29-39-85-75-36
ghana,Monday Special,2025-11-17,37-86-35-33-72,08-44-29-56-51
ghana,Monday Special,2025-11-24,48-29-87-79-63,17-21-62-52-05
ghana,Monday Special,2025-12-01,11-09-27-55-32,67-42-57-46-75
ghana,Monday Special,2025-12-08,38-42-50-78-46,82-41-02-83-74
ghana,Monday Special,2025-12-15,30-22-61-51-17,65-88-87-21-83
ghana,Monday Special,2025-12-22,23-33-07-77-08,55-48-67-16-62
ghana,Monday Special,2025-12-29,01-06-69-82-55,64-31-16-63-52
ghana,Monday Special,2026-01-05,25-20-40-79-43,31-82-32-63-57
ghana,Monday Special,2026-01-12,12-26-40-47-44,71-73-14-45-31
ghana,Monday Special,2026-01-19,86-74-57-60-08,30-72-87-46-31
ghana,Monday Special,2026-01-26,46-66-07-02-73,37-70-85-62-32
ghana,Monday Special,2026-02-02,43-51-25-04-35,71-10-67-76-63
ghana,Monday Special,2026-02-09,74-62-20-07-71,50-46-47-60-37
ghana,Monday Special,2026-02-16,34-05-22-69-72,57-73-13-74-88
ghana,Monday Special,2026-02-23,06-87-20-39-80,55-68-73-65-47
ghana,Monday Special,2026-03-02,86-58-49-45-55,74-54-64-47-77
ghana,Monday Special,2026-03-09,67-06-34-17-28,82-77-76-13-69
ghana,Monday Special,2026-03-16,23-30-17-85-22,31-90-38-86-43
